,Open,High,Low,Close,Volume
2025-02-06 14:00:00,605.1500,605.4900,602.6300,603.7300,4779849
2025-02-06 13:00:00,605.6100,605.9900,605.0401,605.1600,2278554
2025-02-06 12:00:00,605.1300,605.7800,604.7500,605.6100,1681581
2025-02-06 11:00:00,604.6300,605.6999,604.5400,605.1200,2123520
2025-02-06 10:00:00,605.2200,605.9450,604.1600,604.6200,3143534
2025-02-06 09:00:00,605.7000,606.2200,604.9400,605.2699,3391444
2025-02-06 08:00:00,604.4800,606.0492,604.2200,605.6800,154297
2025-02-06 07:00:00,604.4700,605.3800,604.3100,605.3800,202534
2025-02-06 06:00:00,605.1300,605.1300,604.3300,604.5100,58490
2025-02-06 05:00:00,605.4800,605.8000,605.1000,605.1200,21330
2025-02-06 04:00:00,605.6900,606.0600,605.4500,605.4800,24481
2025-02-05 20:00:00,604.2200,604.2200,604.2200,604.2200,1594376
2025-02-05 19:00:00,604.5307,605.1000,604.5200,604.7400,61225
2025-02-05 18:00:00,604.4500,604.6400,604.2200,604.5000,1639690
2025-02-05 17:00:00,604.5700,604.6500,566.3735,604.4750,152757
2025-02-05 16:00:00,604.1500,604.7200,592.8400,604.5350,8550318
2025-02-05 15:00:00,603.0700,604.3700,602.9100,604.1700,7027987
2025-02-05 14:00:00,602.9200,603.6350,602.8800,603.0699,2201587
2025-02-05 13:00:00,602.6750,603.4000,602.2100,602.9300,1681412
2025-02-05 12:00:00,602.6400,603.1700,602.3200,602.6700,2099626
2025-02-05 11:00:00,600.5700,602.8800,600.1350,602.6500,4052928
2025-02-05 10:00:00,600.1200,601.1000,598.5800,600.5850,4548971
2025-02-05 09:00:00,599.9800,601.0900,599.4700,600.1200,2954097
2025-02-05 08:00:00,599.1900,601.7800,597.8300,599.9700,267307
2025-02-05 07:00:00,599.2300,599.5200,598.7900,599.4700,98420
2025-02-05 06:00:00,598.6800,599.2950,598.6700,599.1800,26546
2025-02-05 05:00:00,597.8000,598.8500,597.6500,598.7400,21461
2025-02-05 04:00:00,598.9100,599.2400,597.7000,597.8000,52045
2025-02-04 20:00:00,601.7800,601.7800,601.7800,601.7800,1798075
2025-02-04 19:00:00,599.8300,600.7500,599.5000,600.4400,68598
2025-02-04 18:00:00,599.7700,601.7800,599.4600,599.7400,1937045
2025-02-04 17:00:00,600.0800,601.7800,558.6496,599.8000,345831
2025-02-04 16:00:00,601.7600,602.0900,564.0304,600.0800,8359123
2025-02-04 15:00:00,601.4700,602.2700,600.9700,601.7600,7979362
2025-02-04 14:00:00,600.7000,602.3000,600.5700,601.4800,2993166
2025-02-04 13:00:00,600.9800,601.2590,600.1100,600.7250,1515509
2025-02-04 12:00:00,601.3800,601.6400,599.4054,600.9900,3094907
2025-02-04 11:00:00,600.3750,602.0900,600.3750,601.3700,3290353
2025-02-04 10:00:00,598.9943,601.2600,598.9600,600.3300,4492671
2025-02-04 09:00:00,597.6500,602.8868,591.4200,598.9950,3975573
2025-02-04 08:00:00,597.1600,598.5500,594.3600,597.6600,363075
2025-02-04 07:00:00,596.8500,598.5600,596.8500,598.1900,232417
2025-02-04 06:00:00,596.6800,597.3500,596.3600,596.8300,73692
